state,county,fips,age_med
Alabama,Autauga,1001,37.0
Alabama,Baldwin,1003,41.1
Alabama,Barbour,1005,39.0
Alabama,Bibb,1007,37.8
Alabama,Blount,1009,39.0
Alabama,Bullock,1011,38.5
Alabama,Butler,1013,40.1
Alabama,Calhoun,1015,38.2
Alabama,Chambers,1017,41.5
Alabama,Cherokee,1019,43.9
Alabama,Chilton,1021,37.6
Alabama,Choctaw,1023,43.4
Alabama,Clarke,1025,40.2
Alabama,Clay,1027,42.0
Alabama,Cleburne,1029,40.6
Alabama,Coffee,1031,37.6
Alabama,Colbert,1033,41.8
Alabama,Conecuh,1035,43.0
Alabama,Coosa,1037,44.2
Alabama,Covington,1039,42.4
Alabama,Crenshaw,1041,40.7
Alabama,Cullman,1043,39.9
Alabama,Dale,1045,36.1
Alabama,Dallas,1047,37.7
Alabama,DeKalb,1049,37.5
Alabama,Elmore,1051,37.8
Alabama,Escambia,1053,39.2
Alabama,Etowah,1055,40.2
Alabama,Fayette,1057,42.5
Alabama,Franklin,1059,37.8
Alabama,Geneva,1061,42.0
Alabama,Greene,1063,41.8
Alabama,Hale,1065,40.0
Alabama,Henry,1067,42.8
Alabama,Houston,1069,38.5
Alabama,Jackson,1071,41.4
Alabama,Jefferson,1073,37.1
Alabama,Lamar,1075,43.5
Alabama,Lauderdale,1077,40.4
Alabama,Lawrence,1079,40.6
Alabama,Lee,1081,29.5
Alabama,Limestone,1083,38.4
Alabama,Lowndes,1085,40.6
Alabama,Macon,1087,36.3
Alabama,Madison,1089,37.3
Alabama,Marengo,1091,40.4
Alabama,Marion,1093,42.8
Alabama,Marshall,1095,38.2
Alabama,Mobile,1097,36.6
Alabama,Monroe,1099,40.1
Alabama,Montgomery,1101,34.9
Alabama,Morgan,1103,39.0
Alabama,Perry,1105,37.2
Alabama,Pickens,1107,41.9
Alabama,Pike,1109,31.4
Alabama,Randolph,1111,41.2
Alabama,Russell,1113,35.8
Alabama,St. Clair,1115,38.6
