state,county,fips,inc_med
Alabama,Autauga,1001,51463
Alabama,Baldwin,1003,48918
Alabama,Barbour,1005,32537
Alabama,Bibb,1007,41236
Alabama,Blount,1009,45406
Alabama,Bullock,1011,26209
Alabama,Butler,1013,31938
Alabama,Calhoun,1015,38382
Alabama,Chambers,1017,32433
Alabama,Cherokee,1019,40240
Alabama,Chilton,1021,38966
Alabama,Choctaw,1023,30749
Alabama,Clarke,1025,27080
Alabama,Clay,1027,37652
Alabama,Cleburne,1029,33742
Alabama,Coffee,1031,41973
Alabama,Colbert,1033,39366
Alabama,Conecuh,1035,27216
Alabama,Coosa,1037,33595
Alabama,Covington,1039,33278
Alabama,Crenshaw,1041,31058
Alabama,Cullman,1043,38394
Alabama,Dale,1045,42225
Alabama,Dallas,1047,26442
Alabama,DeKalb,1049,33634
Alabama,Elmore,1051,52971
Alabama,Escambia,1053,32321
Alabama,Etowah,1055,36378
Alabama,Fayette,1057,35754
Alabama,Franklin,1059,33380
Alabama,Geneva,1061,31055
Alabama,Greene,1063,22352
Alabama,Hale,1065,29841
Alabama,Henry,1067,35792
Alabama,Houston,1069,41096
Alabama,Jackson,1071,35073
Alabama,Jefferson,1073,44718
Alabama,Lamar,1075,31094
Alabama,Lauderdale,1077,37691
Alabama,Lawrence,1079,41472
Alabama,Lee,1081,38588
Alabama,Limestone,1083,44997
Alabama,Lowndes,1085,30270
Alabama,Macon,1087,26305
Alabama,Madison,1089,54979
Alabama,Marengo,1091,30819
Alabama,Marion,1093,32224
Alabama,Marshall,1095,37396
Alabama,Mobile,1097,40476
Alabama,Monroe,1099,29810
Alabama,Montgomery,1101,43015
Alabama,Morgan,1103,42913
Alabama,Perry,1105,26270
Alabama,Pickens,1107,27150
Alabama,Pike,1109,28065
Alabama,Randolph,1111,35137
Alabama,Russell,1113,32064
Alabama,St. Clair,1115,48425
Alabama,Shelby,1117,67534
Alabama,Sumter,1119,20994
Alabama,Talladega,1121,35865
Alabama,Tallapoosa,1123,36637
Alabama,Tuscaloosa,1125,39579
Alabama,Walker,1127,36708
Alabama,Washington,1129,34738
Alabama,Wilcox,1131,22006
Alabama,Winston,1133,29818
Alaska,Aleutians East,2013,56250
Alaska,Aleutians West,2016,72989
Alaska,Anchorage,2020,70151
Alaska,Bethel,2050,53120
Alaska,Bristol Bay,2060,62500
Alaska,Denali,2068,76250
Alaska,Dillingham,2070,60466
Alaska,Fairbanks North Star,2090,65121
Alaska,Haines,2100,44284
Alaska,Hoonah-Angoon,2105,43208
Alaska,Juneau,2110,76437
Alaska,Kenai Peninsula,2122,55966
Alaska,Ketchikan Gateway,2130,57500
Alaska,Kodiak Island,2150,59655
Alaska,Lake and Peninsula,2164,41458
Alaska,Matanuska-Susitna,2170,66052
Alaska,Nome,2180,55766
Alaska,North Slope,2185,66556
Alaska,Northwest Arctic,2188,57885
Alaska,Petersburg,2195,61115
Alaska,Prince of Wales-Hyder,2198,45889
Alaska,Sitka,2220,58895
Alaska,Skagway,2230,71295
Alaska,Southeast Fairbanks,2240,59407
Alaska,Valdez-Cordova,2261,55952
Alaska,Wade Hampton,2270,36712
Alaska,Wrangell,2275,49508
Alaska,Yakutat,2282,66250
Alaska,Yukon-Koyukuk,2290,33716
Arizona,Apache,4001,28378
Arizona,Cochise,4003,43304
Arizona,Coconino,4005,48259
Arizona,Gila,4007,36930
Arizona,Graham,4009,40889
Arizona,Greenlee,4011,45476
Arizona,La Paz,4012,31640
Arizona,Maricopa,4013,55223
Arizona,Mohave,4015,40157
Arizona,Navajo,4017,38197
Arizona,Pima,4019,45885
Arizona,Pinal,4021,49301
Arizona,Santa Cruz,4023,37204
Arizona,Yavapai,4025,43965
Arizona,Yuma,4027,38854
Arkansas,Arkansas,5001,36341
Arkansas,Ashley,5003,33007
Arkansas,Baxter,5005,34534
Arkansas,Benton,5007,50377
Arkansas,Boone,5009,36839
Arkansas,Bradley,5011,26207
Arkansas,Calhoun,5013,32148
Arkansas,Carroll,5015,32978
Arkansas,Chicot,5017,20543
Arkansas,Clark,5019,31409
Arkansas,Clay,5021,29282
Arkansas,Cleburne,5023,36405
Arkansas,Cleveland,5025,35063
Arkansas,Columbia,5027,35258
Arkansas,Conway,5029,33554
Arkansas,Craighead,5031,39431
Arkansas,Crawford,5033,38942
Arkansas,Crittenden,5035,32323
Arkansas,Cross,5037,36036
Arkansas,Dallas,5039,28233
Arkansas,Desha,5041,27072
Arkansas,Drew,5043,32061
Arkansas,Faulkner,5045,44600
Arkansas,Franklin,5047,30991
Arkansas,Fulton,5049,30771
Arkansas,Garland,5051,36454
Arkansas,Grant,5053,51238
Arkansas,Greene,5055,38012
Arkansas,Hempstead,5057,35518
Arkansas,Hot Spring,5059,36095
Arkansas,Howard,5061,33180
Arkansas,Independence,5063,34798
Arkansas,Izard,5065,32269
Arkansas,Jackson,5067,28680
Arkansas,Jefferson,5069,35265
Arkansas,Johnson,5071,30953
Arkansas,Lafayette,5073,26491
Arkansas,Lawrence,5075,29119
Arkansas,Lee,5077,26283
Arkansas,Lincoln,5079,34876
Arkansas,Little River,5081,32884
Arkansas,Logan,5083,35716
Arkansas,Lonoke,5085,50295
Arkansas,Madison,5087,36667
Arkansas,Marion,5089,31772
Arkansas,Miller,5091,39090
Arkansas,Mississippi,5093,32940
Arkansas,Monroe,5095,29607
Arkansas,Montgomery,5097,36095
Arkansas,Nevada,5099,32969
