state,county,fips,land_sqm
Alabama,Autauga,1001,594.44
Alabama,Baldwin,1003,1589.78
Alabama,Barbour,1005,884.88
Alabama,Bibb,1007,622.58
Alabama,Blount,1009,644.78
Alabama,Bullock,1011,622.81
Alabama,Butler,1013,776.83
Alabama,Calhoun,1015,605.87
Alabama,Chambers,1017,596.53
Alabama,Cherokee,1019,553.7
Alabama,Chilton,1021,692.85
Alabama,Choctaw,1023,913.5
Alabama,Clarke,1025,1238.47
Alabama,Clay,1027,603.96
Alabama,Cleburne,1029,560.1
Alabama,Coffee,1031,678.97
Alabama,Colbert,1033,592.62
Alabama,Conecuh,1035,850.16
Alabama,Coosa,1037,650.93
Alabama,Covington,1039,1030.46
Alabama,Crenshaw,1041,608.84
Alabama,Cullman,1043,734.84
Alabama,Dale,1045,561.15
Alabama,Dallas,1047,978.7
Alabama,DeKalb,1049,777.09
Alabama,Elmore,1051,618.49
Alabama,Escambia,1053,945.08
Alabama,Etowah,1055,534.99
Alabama,Fayette,1057,627.66
Alabama,Franklin,1059,633.82
Alabama,Geneva,1061,574.41
Alabama,Greene,1063,647.11
Alabama,Hale,1065,643.94
Alabama,Henry,1067,561.75
Alabama,Houston,1069,579.82
Alabama,Jackson,1071,1077.87
Alabama,Jefferson,1073,1111.28
Alabama,Lamar,1075,604.85
Alabama,Lauderdale,1077,667.7
Alabama,Lawrence,1079,690.68
Alabama,Lee,1081,607.54
Alabama,Limestone,1083,559.94
Alabama,Lowndes,1085,715.91
Alabama,Macon,1087,608.89
Alabama,Madison,1089,801.59
Alabama,Marengo,1091,976.88
Alabama,Marion,1093,742.29
Alabama,Marshall,1095,565.84
Alabama,Mobile,1097,1229.44
Alabama,Monroe,1099,1025.68
Alabama,Montgomery,1101,784.25
Alabama,Morgan,1103,579.34
Alabama,Perry,1105,719.66
Alabama,Pickens,1107,881.41
Alabama,Pike,1109,672.09
Alabama,Randolph,1111,580.55
Alabama,Russell,1113,641.14
Alabama,St. Clair,1115,631.9
Alabama,Shelby,1117,784.93
Alabama,Sumter,1119,903.89
Alabama,Talladega,1121,736.78
Alabama,Tallapoosa,1123,716.52
Alabama,Tuscaloosa,1125,1321.76
Alabama,Walker,1127,791.19
Alabama,Washington,1129,1080.21
Alabama,Wilcox,1131,888.5
Alabama,Winston,1133,612.98
Alaska,Aleutians East,2013,6981.94
Alaska,Aleutians West,2016,4390.28
Alaska,Anchorage,2020,1704.68
Alaska,Bethel,2050,40570.0
Alaska,Bristol Bay,2060,503.84
Alaska,Denali,2068,12751.41
Alaska,Dillingham,2070,18568.78
Alaska,Fairbanks North Star,2090,7338.21
Alaska,Haines,2100,2318.6
Alaska,Hoonah-Angoon,2105,7524.92
Alaska,Juneau,2110,2701.93
Alaska,Kenai Peninsula,2122,16075.33
Alaska,Ketchikan Gateway,2130,4858.41
Alaska,Kodiak Island,2150,6549.58
Alaska,Lake and Peninsula,2164,23652.01
Alaska,Matanuska-Susitna,2170,24607.9
Alaska,Nome,2180,22961.76
Alaska,North Slope,2185,88695.41
Alaska,Northwest Arctic,2188,35572.58
Alaska,Petersburg,2195,3281.98
Alaska,Prince of Wales-Hyder,2198,3922.87
Alaska,Sitka,2220,2870.34
Alaska,Skagway,2230,452.33
Alaska,Southeast Fairbanks,2240,24768.81
Alaska,Valdez-Cordova,2261,34239.88
Alaska,Wade Hampton,2270,17081.43
Alaska,Wrangell,2275,2541.48
Alaska,Yakutat,2282,7649.46
Alaska,Yukon-Koyukuk,2290,145504.79
Arizona,Apache,4001,11197.52
Arizona,Cochise,4003,6165.69
Arizona,Coconino,4005,18618.89
Arizona,Gila,4007,4757.93
Arizona,Graham,4009,4622.6
Arizona,Greenlee,4011,1843.13
Arizona,La Paz,4012,4499.63
Arizona,Maricopa,4013,9200.14
Arizona,Mohave,4015,13311.08
Arizona,Navajo,4017,9950.42
Arizona,Pima,4019,9187.04
Arizona,Pinal,4021,5365.61
Arizona,Santa Cruz,4023,1236.92
Arizona,Yavapai,4025,8123.5
Arizona,Yuma,4027,5513.99
Arkansas,Arkansas,5001,988.77
Arkansas,Ashley,5003,925.35
Arkansas,Baxter,5005,554.28
Arkansas,Benton,5007,847.36
Arkansas,Boone,5009,590.23
Arkansas,Bradley,5011,649.23
Arkansas,Calhoun,5013,628.58
Arkansas,Carroll,5015,630.09
Arkansas,Chicot,5017,644.3
Arkansas,Clark,5019,866.07
Arkansas,Clay,5021,639.47
Arkansas,Cleburne,5023,553.69
Arkansas,Cleveland,5025,597.78
Arkansas,Columbia,5027,766.05
Arkansas,Conway,5029,552.25
Arkansas,Craighead,5031,707.21
Arkansas,Crawford,5033,593.09
Arkansas,Crittenden,5035,609.76
Arkansas,Cross,5037,616.38
Arkansas,Dallas,5039,667.39
Arkansas,Desha,5041,768.15
Arkansas,Drew,5043,828.36
Arkansas,Faulkner,5045,647.88
