state,county,type,conf,delta
Alabama,Autauga,retail_rec,1,-42.0
Alabama,Autauga,groc_pharm,1,-8.0
Alabama,Autauga,parks,0,-14.0
Alabama,Autauga,transit,0,
Alabama,Autauga,work,1,-35.0
Alabama,Autauga,home,0,16.0
Alabama,Baldwin,retail_rec,1,-47.0
Alabama,Baldwin,groc_pharm,1,-19.0
Alabama,Baldwin,parks,1,-27.0
Alabama,Baldwin,transit,1,-24.0
Alabama,Baldwin,work,1,-32.0
Alabama,Baldwin,home,1,9.0
Alabama,Barbour,retail_rec,1,-27.0
Alabama,Barbour,groc_pharm,1,-20.0
Alabama,Barbour,parks,0,
Alabama,Barbour,transit,0,
Alabama,Barbour,work,1,-23.0
Alabama,Barbour,home,0,
Alabama,Bibb,retail_rec,1,-25.0
Alabama,Bibb,groc_pharm,1,-10.0
Alabama,Bibb,parks,0,
Alabama,Bibb,transit,0,
Alabama,Bibb,work,1,-32.0
Alabama,Bibb,home,0,
Alabama,Blount,retail_rec,1,-36.0
Alabama,Blount,groc_pharm,1,-2.0
Alabama,Blount,parks,0,
Alabama,Blount,transit,0,
Alabama,Blount,work,1,-29.0
Alabama,Blount,home,0,15.0
Alabama,Bullock,retail_rec,0,-37.0
Alabama,Bullock,groc_pharm,0,-13.0
Alabama,Bullock,parks,0,
Alabama,Bullock,transit,0,
Alabama,Bullock,work,0,-24.0
Alabama,Bullock,home,0,
Alabama,Butler,retail_rec,1,-37.0
Alabama,Butler,groc_pharm,1,-5.0
Alabama,Butler,parks,0,
Alabama,Butler,transit,0,-45.0
Alabama,Butler,work,1,-30.0
Alabama,Butler,home,0,
Alabama,Calhoun,retail_rec,1,-40.0
Alabama,Calhoun,groc_pharm,1,-17.0
Alabama,Calhoun,parks,0,-22.0
Alabama,Calhoun,transit,0,
Alabama,Calhoun,work,1,-33.0
Alabama,Calhoun,home,1,8.0
Alabama,Chambers,retail_rec,1,-34.0
Alabama,Chambers,groc_pharm,1,1.0
Alabama,Chambers,parks,0,
Alabama,Chambers,transit,0,-12.0
Alabama,Chambers,work,1,-28.0
Alabama,Chambers,home,0,13.0
Alabama,Cherokee,retail_rec,1,-24.0
Alabama,Cherokee,groc_pharm,1,6.0
Alabama,Cherokee,parks,0,
Alabama,Cherokee,transit,0,
Alabama,Cherokee,work,1,-29.0
Alabama,Cherokee,home,0,
Alabama,Chilton,retail_rec,1,-41.0
Alabama,Chilton,groc_pharm,1,-11.0
Alabama,Chilton,parks,0,
Alabama,Chilton,transit,1,-27.0
Alabama,Chilton,work,1,-26.0
Alabama,Chilton,home,0,14.0
Alabama,Choctaw,retail_rec,0,-13.0
Alabama,Choctaw,groc_pharm,1,-16.0
Alabama,Choctaw,parks,0,
Alabama,Choctaw,transit,0,
Alabama,Choctaw,work,0,-28.0
Alabama,Choctaw,home,0,
Alabama,Clarke,retail_rec,1,-27.0
Alabama,Clarke,groc_pharm,1,-24.0
Alabama,Clarke,parks,0,
Alabama,Clarke,transit,0,
Alabama,Clarke,work,1,-27.0
Alabama,Clarke,home,0,
Alabama,Clay,retail_rec,0,-33.0
Alabama,Clay,groc_pharm,0,-14.0
Alabama,Clay,parks,0,
Alabama,Clay,transit,0,
Alabama,Clay,work,0,-20.0
Alabama,Clay,home,0,
Alabama,Cleburne,retail_rec,0,-22.0
Alabama,Cleburne,groc_pharm,1,-3.0
Alabama,Cleburne,parks,0,
Alabama,Cleburne,transit,0,-36.0
Alabama,Cleburne,work,0,-9.0
Alabama,Cleburne,home,0,
Alabama,Coffee,retail_rec,1,-28.0
Alabama,Coffee,groc_pharm,1,-15.0
Alabama,Coffee,parks,0,
Alabama,Coffee,transit,0,
Alabama,Coffee,work,1,-26.0
Alabama,Coffee,home,0,11.0
Alabama,Colbert,retail_rec,1,-30.0
Alabama,Colbert,groc_pharm,1,-6.0
Alabama,Colbert,parks,0,-14.0
Alabama,Colbert,transit,1,-20.0
Alabama,Colbert,work,1,-22.0
Alabama,Colbert,home,0,12.0
Alabama,Conecuh,retail_rec,1,-49.0
Alabama,Conecuh,groc_pharm,1,-10.0
Alabama,Conecuh,parks,0,
Alabama,Conecuh,transit,1,-33.0
Alabama,Conecuh,work,0,-21.0
Alabama,Conecuh,home,0,
Alabama,Coosa,retail_rec,0,
Alabama,Coosa,groc_pharm,0,
Alabama,Coosa,parks,0,
Alabama,Coosa,transit,0,
Alabama,Coosa,work,0,-28.0
Alabama,Coosa,home,0,
Alabama,Covington,retail_rec,1,-37.0
Alabama,Covington,groc_pharm,1,-15.0
Alabama,Covington,parks,0,
Alabama,Covington,transit,0,
Alabama,Covington,work,1,-23.0
Alabama,Covington,home,0,7.0
Alabama,Crenshaw,retail_rec,1,-57.0
Alabama,Crenshaw,groc_pharm,1,-17.0
Alabama,Crenshaw,parks,0,
Alabama,Crenshaw,transit,0,
Alabama,Crenshaw,work,0,-35.0
Alabama,Crenshaw,home,0,
Alabama,Cullman,retail_rec,1,-33.0
Alabama,Cullman,groc_pharm,1,-2.0
Alabama,Cullman,parks,0,86.0
Alabama,Cullman,transit,1,-33.0
Alabama,Cullman,work,1,-29.0
Alabama,Cullman,home,1,8.0
Alabama,Dale,retail_rec,1,-34.0
Alabama,Dale,groc_pharm,1,-9.0
Alabama,Dale,parks,0,
Alabama,Dale,transit,0,-17.0
Alabama,Dale,work,1,-25.0
Alabama,Dale,home,0,11.0
Alabama,Dallas,retail_rec,1,-27.0
Alabama,Dallas,groc_pharm,1,-2.0
Alabama,Dallas,parks,0,
Alabama,Dallas,transit,0,
Alabama,Dallas,work,1,-22.0
Alabama,Dallas,home,0,5.0
Alabama,DeKalb,retail_rec,1,-38.0
Alabama,DeKalb,groc_pharm,1,-7.0
Alabama,DeKalb,parks,0,9.0
Alabama,DeKalb,transit,0,-33.0
Alabama,DeKalb,work,1,-23.0
Alabama,DeKalb,home,0,11.0
Alabama,Elmore,retail_rec,1,-40.0
Alabama,Elmore,groc_pharm,1,-13.0
Alabama,Elmore,parks,0,50.0
Alabama,Elmore,transit,0,
Alabama,Elmore,work,1,-37.0
Alabama,Elmore,home,1,8.0
Alabama,Escambia,retail_rec,1,-35.0
Alabama,Escambia,groc_pharm,1,-20.0
Alabama,Escambia,parks,0,
Alabama,Escambia,transit,0,
Alabama,Escambia,work,1,-27.0
Alabama,Escambia,home,0,7.0
Alabama,Etowah,retail_rec,1,-47.0
Alabama,Etowah,groc_pharm,1,-13.0
Alabama,Etowah,parks,0,19.0
Alabama,Etowah,transit,1,-27.0
Alabama,Etowah,work,1,-33.0
Alabama,Etowah,home,1,9.0
Alabama,Fayette,retail_rec,1,-23.0
Alabama,Fayette,groc_pharm,0,
Alabama,Fayette,parks,0,
Alabama,Fayette,transit,0,
Alabama,Fayette,work,0,-28.0
Alabama,Fayette,home,0,
