state,county,seg,value,headline,abs_delta
Alabama,Conecuh,Workplace,-33.335,-21.0,12.335
Alabama,Etowah,Parks,-17.305999999999994,19.0,36.306
Alabama,Limestone,Parks,20.263,38.0,17.737
Alabama,Macon,Transit stations,-37.272,-42.0,4.7280000000000015
Alabama,Marshall,Parks,126.804,107.0,19.804000000000002
Arkansas,Conway,Workplace,-1.639,-25.0,23.361
Arkansas,Lawrence,Workplace,-35.869,-30.0,5.869
Connecticut,Tolland,Parks,-13.949000000000002,-38.0,24.051
Georgia,Dade,Workplace,-16.089000000000002,-23.0,6.910999999999998
Georgia,Dawson,Parks,9.614,17.0,7.385999999999999
Georgia,Fannin,Parks,45.59,38.0,7.590000000000003
Georgia,Floyd,Parks,-31.577,28.0,59.577
Georgia,McDuffie,Workplace,-21.315,-18.0,3.3150000000000013
Georgia,Rabun,Parks,7.459,37.0,29.541
Georgia,Rockdale,Parks,-29.433000000000003,-18.0,11.433000000000003
Georgia,Union,Parks,16.322,22.0,5.678000000000001
Georgia,Walker,Parks,-48.93899999999999,-28.0,20.938999999999993
Georgia,Wayne,Grocery & pharmacy,-30.074,-8.0,22.074
Georgia,Wilkes,Grocery & pharmacy,-31.354,-14.0,17.354
Georgia,Worth,Grocery & pharmacy,-28.336,-9.0,19.336
Illinois,Carroll,Grocery & pharmacy,7.843,-9.0,16.843
Indiana,Clark,Parks,111.428,64.0,47.428
Indiana,Crawford,Retail & recreation,-38.636,-58.0,19.363999999999997
Indiana,Elkhart,Parks,24.998,18.0,6.998000000000001
Indiana,Monroe,Parks,-19.35,39.0,58.35
Indiana,Tippecanoe,Parks,3.629,5.0,1.371
Indiana,White,Transit stations,-25.972,-22.0,3.9720000000000013
Kansas,Brown,Grocery & pharmacy,-1.925,0.0,1.925
Kansas,Clay,Grocery & pharmacy,-25.0,-22.0,3.0
Kansas,Dickinson,Workplace,-9.305,-24.0,14.695
Kansas,Thomas,Transit stations,1.915,-2.0,3.915
Kentucky,Daviess,Parks,-17.394000000000002,39.0,56.394000000000005
Kentucky,Gallatin,Workplace,-88.633,-34.0,54.632999999999996
Kentucky,Kenton,Parks,81.538,108.0,26.462000000000003
Kentucky,Ohio,Transit stations,-26.661,-34.0,7.338999999999999
Louisiana,De Soto Parish,Workplace,-34.618,-24.0,10.618000000000002
Maine,Androscoggin,Parks,9.804,-26.0,35.804
Massachusetts,Berkshire,Parks,65.516,-36.0,101.516
Massachusetts,Hampshire,Parks,95.884,-45.0,140.88400000000001
Minnesota,Nobles,Workplace,-45.24800000000001,-22.0,23.24800000000001
Mississippi,Scott,Workplace,-8.814,-17.0,8.186
Mississippi,Sunflower,Workplace,-20.483,-10.0,10.483
Mississippi,Tate,Workplace,-7.59,-28.0,20.41
Mississippi,Union,Workplace,-20.003,-32.0,11.997
Missouri,Crawford,Workplace,-6.819,-17.0,10.181000000000001
Missouri,Franklin,Parks,-22.916,61.0,83.916
Missouri,Mississippi,Workplace,-12.903,-16.0,3.0969999999999995
Missouri,New Madrid,Workplace,-27.015,-23.0,4.015000000000001
Missouri,Ralls,Transit stations,-22.356,-9.0,13.356000000000002
Nebraska,Hamilton,Workplace,-5.634,-22.0,16.366
Nevada,White Pine,Workplace,-4.254,-23.0,18.746000000000002
New Hampshire,Belknap,Parks,2.128,-53.0,55.128
New Hampshire,Cheshire,Parks,4.348,-46.0,50.348
New Hampshire,Strafford,Parks,40.349,-53.0,93.34899999999999
New Jersey,Sussex,Transit stations,-15.686,-53.0,37.314
New Mexico,Hidalgo,Retail & recreation,-62.792,-57.0,5.792000000000002
New York,Schenectady,Parks,11.125,-20.0,31.125
North Carolina,Alamance,Parks,40.0,34.0,6.0
North Carolina,Catawba,Parks,-6.819,49.0,55.819
North Carolina,Cleveland,Parks,-29.272,8.0,37.272
North Carolina,Davidson,Parks,33.335,60.0,26.665
North Carolina,Haywood,Parks,46.542,24.0,22.542
North Carolina,Jackson,Parks,-19.514,17.0,36.513999999999996
North Carolina,Johnston,Parks,-3.506,21.0,24.506
North Carolina,Macon,Parks,3.702,-7.0,10.702
North Carolina,Moore,Parks,-36.637,21.0,57.637
North Carolina,Rowan,Parks,18.883,66.0,47.117000000000004
North Carolina,Transylvania,Parks,6.787000000000001,14.0,7.212999999999999
Ohio,Clermont,Parks,92.424,126.0,33.57599999999999
Oklahoma,Cotton,Grocery & pharmacy,-6.671,-23.0,16.329
Oklahoma,Cotton,Workplace,-42.555,-33.0,9.555
Oklahoma,Okfuskee,Workplace,-19.991,-31.0,11.009
Oklahoma,Seminole,Workplace,-30.428,-22.0,8.428
Oregon,Polk,Parks,-18.183,-5.0,13.183
Rhode Island,Kent,Parks,17.461,-44.0,61.461
Rhode Island,Washington,Parks,5.635,-59.0,64.635
South Carolina,Cherokee,Parks,-23.91,-7.0,16.91
South Carolina,Clarendon,Workplace,-11.63,-28.0,16.369999999999997
South Carolina,Fairfield,Workplace,-27.422,-33.0,5.577999999999999
Tennessee,Anderson,Parks,28.75,65.0,36.25
Texas,Callahan,Workplace,-17.541,-8.0,9.541
Texas,Childress,Workplace,-11.113,-32.0,20.887
Texas,Crockett,Grocery & pharmacy,-18.367,-27.0,8.633
Texas,Deaf Smith,Workplace,-12.495,-18.0,5.505000000000001
Texas,Hartley,Grocery & pharmacy,-6.784,-4.0,2.784
Texas,Leon,Workplace,-28.071,-32.0,3.9289999999999985
Texas,McMullen,Transit stations,-23.209,-50.0,26.791
Texas,Mitchell,Parks,-71.493,-70.0,1.492999999999995
Texas,Red River,Grocery & pharmacy,-2.015,16.0,18.015
Texas,Refugio,Grocery & pharmacy,-67.26,-43.0,24.260000000000005
Texas,Rockwall,Grocery & pharmacy,-44.731,-25.0,19.731
Texas,Rusk,Grocery & pharmacy,-23.904,-7.0,16.904
Texas,San Augustine,Grocery & pharmacy,-61.528,-9.0,52.528
Texas,Scurry,Grocery & pharmacy,-31.643,-21.0,10.643
Texas,Somervell,Grocery & pharmacy,-37.328,-6.0,31.328000000000003
Texas,Taylor,Grocery & pharmacy,-34.45,-14.0,20.450000000000003
Texas,Titus,Grocery & pharmacy,-27.696,2.0,29.696
Texas,Uvalde,Grocery & pharmacy,-43.301,-31.0,12.301000000000002
Utah,Sevier,Workplace,-8.824,-25.0,16.176000000000002
Vermont,Lamoille,Transit stations,-57.813,-40.0,17.813000000000002
Virginia,Albemarle,Parks,-20.0,36.0,56.0
Virginia,Bland,Transit stations,-31.709,-19.0,12.709
Virginia,Emporia,Workplace,-20.451,-16.0,4.4510000000000005
Virginia,Greensville,Transit stations,-17.672,-24.0,6.327999999999999
Virginia,Portsmouth,Parks,-20.428,53.0,73.428
Virginia,Wythe,Grocery & pharmacy,-39.085,-17.0,22.085
Washington,Franklin,Parks,-2.219,-16.0,13.781
West Virginia,Jackson,Workplace,-11.362,-33.0,21.637999999999998
Wyoming,Natrona,Parks,4.057,64.0,59.943
Wyoming,Weston,Grocery & pharmacy,-20.831,-24.0,3.1690000000000005
