state,county,fips,pop
Alabama,Autauga,1001,54571
Alabama,Baldwin,1003,182265
Alabama,Barbour,1005,27457
Alabama,Bibb,1007,22915
Alabama,Blount,1009,57322
Alabama,Bullock,1011,10914
Alabama,Butler,1013,20947
Alabama,Calhoun,1015,118572
Alabama,Chambers,1017,34215
Alabama,Cherokee,1019,25989
Alabama,Chilton,1021,43643
Alabama,Choctaw,1023,13859
Alabama,Clarke,1025,25833
Alabama,Clay,1027,13932
Alabama,Cleburne,1029,14972
Alabama,Coffee,1031,49948
Alabama,Colbert,1033,54428
Alabama,Conecuh,1035,13228
Alabama,Coosa,1037,11539
Alabama,Covington,1039,37765
Alabama,Crenshaw,1041,13906
Alabama,Cullman,1043,80406
Alabama,Dale,1045,50251
Alabama,Dallas,1047,43820
Alabama,DeKalb,1049,71109
Alabama,Elmore,1051,79303
Alabama,Escambia,1053,38319
Alabama,Etowah,1055,104430
Alabama,Fayette,1057,17241
Alabama,Franklin,1059,31704
Alabama,Geneva,1061,26790
Alabama,Greene,1063,9045
Alabama,Hale,1065,15760
Alabama,Henry,1067,17302
Alabama,Houston,1069,101547
Alabama,Jackson,1071,53227
Alabama,Jefferson,1073,658466
Alabama,Lamar,1075,14564
Alabama,Lauderdale,1077,92709
Alabama,Lawrence,1079,34339
Alabama,Lee,1081,140247
Alabama,Limestone,1083,82782
Alabama,Lowndes,1085,11299
Alabama,Macon,1087,21452
Alabama,Madison,1089,334811
Alabama,Marengo,1091,21027
Alabama,Marion,1093,30776
Alabama,Marshall,1095,93019
Alabama,Mobile,1097,412992
Alabama,Monroe,1099,23068
Alabama,Montgomery,1101,229363
Alabama,Morgan,1103,119490
Alabama,Perry,1105,10591
Alabama,Pickens,1107,19746
Alabama,Pike,1109,32899
Alabama,Randolph,1111,22913
Alabama,Russell,1113,52947
Alabama,St. Clair,1115,83593
Alabama,Shelby,1117,195085
Alabama,Sumter,1119,13763
Alabama,Talladega,1121,82291
Alabama,Tallapoosa,1123,41616
Alabama,Tuscaloosa,1125,194656
Alabama,Walker,1127,67023
Alabama,Washington,1129,17581
Alabama,Wilcox,1131,11670
Alabama,Winston,1133,24484
Alaska,Aleutians East,2013,3141
Alaska,Aleutians West,2016,5561
Alaska,Anchorage,2020,291826
Alaska,Bethel,2050,17013
Alaska,Bristol Bay,2060,997
Alaska,Denali,2068,1826
Alaska,Dillingham,2070,4847
Alaska,Fairbanks North Star,2090,97581
Alaska,Haines,2100,2508
Alaska,Hoonah-Angoon,2105,2150
Alaska,Juneau,2110,31275
Alaska,Kenai Peninsula,2122,55400
Alaska,Ketchikan Gateway,2130,13477
Alaska,Kodiak Island,2150,13592
Alaska,Lake and Peninsula,2164,1631
Alaska,Matanuska-Susitna,2170,88995
Alaska,Nome,2180,9492
Alaska,North Slope,2185,9430
Alaska,Northwest Arctic,2188,7523
Alaska,Petersburg,2195,3815
Alaska,Prince of Wales-Hyder,2198,5559
Alaska,Sitka,2220,8881
Alaska,Skagway,2230,968
Alaska,Southeast Fairbanks,2240,7029
Alaska,Valdez-Cordova,2261,9636
Alaska,Wade Hampton,2270,7459
Alaska,Wrangell,2275,2369
Alaska,Yakutat,2282,662
Alaska,Yukon-Koyukuk,2290,5588
Arizona,Apache,4001,71518
Arizona,Cochise,4003,131346
Arizona,Coconino,4005,134421
Arizona,Gila,4007,53597
Arizona,Graham,4009,37220
Arizona,Greenlee,4011,8437
Arizona,La Paz,4012,20489
Arizona,Maricopa,4013,3817117
Arizona,Mohave,4015,200186
Arizona,Navajo,4017,107449
Arizona,Pima,4019,980263
Arizona,Pinal,4021,375770
Arizona,Santa Cruz,4023,47420
Arizona,Yavapai,4025,211033
Arizona,Yuma,4027,195751
Arkansas,Arkansas,5001,19019
Arkansas,Ashley,5003,21853
Arkansas,Baxter,5005,41513
Arkansas,Benton,5007,221339
Arkansas,Boone,5009,36903
Arkansas,Bradley,5011,11508
Arkansas,Calhoun,5013,5368
Arkansas,Carroll,5015,27446
Arkansas,Chicot,5017,11800
Arkansas,Clark,5019,22995
